2024-05-01T08:14:46.284+0530 INFO  [main] c.s.MemokartServiceRegistryApplication - Starting MemokartServiceRegistryApplication using Java 17.0.8 with PID 12284 (C:\Users\sounak\Desktop\Memo-main\Memo-main\spring boot microservices\memok1rt-service-registry\target\classes started by sounak in C:\Users\sounak\Desktop\Memo-main\Memo-main\spring boot microservices)
2024-05-01T08:14:46.286+0530 INFO  [main] c.s.MemokartServiceRegistryApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-01T08:14:47.679+0530 INFO  [main] o.s.c.context.scope.GenericScope - BeanFactory id=e16953e4-9944-3042-80af-5119f5e2ab97
2024-05-01T08:14:47.759+0530 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). The currently created BeanPostProcessor [lbRestClientPostProcessor] is declared through a non-static factory method on that class; consider declaring it as static instead.
2024-05-01T08:14:47.763+0530 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'deferringLoadBalancerInterceptor' of type [org.springframework.cloud.client.loadbalancer.DeferringLoadBalancerInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2024-05-01T08:14:48.107+0530 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8761 (http)
2024-05-01T08:14:48.118+0530 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8761"]
2024-05-01T08:14:48.121+0530 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-01T08:14:48.121+0530 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-05-01T08:14:48.195+0530 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-01T08:14:48.197+0530 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1864 ms
